cellnumber,    x-coordinate,    y-coordinate,     temperature
         1, 4.497120082E-01, 1.536203921E-01, 1.487595351E+02
         2, 3.934027851E-01, 8.576389402E-02, 1.431680792E+02
         3, 4.767360985E-01, 3.576388955E-02, 1.375710892E+02
         4, 1.270829439E-01, 2.353650481E-01, 1.557029906E+02
         5, 2.104163021E-01, 2.676381767E-01, 1.597716365E+02
         6, 2.937496006E-01, 2.176381797E-01, 1.551077741E+02
         7, 5.600694418E-01, 6.909722090E-02, 1.406739910E+02
         8, 5.330453515E-01, 1.369537264E-01, 1.471702677E+02
         9, 5.729759336E-01, 1.678565145E-01, 1.502116495E+02
        10, 5.729759336E-01, 2.345231771E-01, 1.567731515E+02
        11, 4.896425903E-01, 2.678565085E-01, 1.599289737E+02
        12, 4.063092470E-01, 2.178565115E-01, 1.549026636E+02
        13, 2.503468394E-01, 1.531309038E-01, 1.496044522E+02
        14, 3.065972328E-01, 8.549275249E-02, 1.437230557E+02
        15, 2.232639045E-01, 3.549275175E-02, 1.396435943E+02
        16, 1.399305612E-01, 6.764293462E-02, 1.450991201E+02
        17, 6.666667014E-02, 3.215018660E-02, 1.473793229E+02
        18, 3.333333507E-02, 6.548351794E-02, 1.492071141E+02
        19, 1.670135111E-01, 1.352811009E-01, 1.486302275E+02
        20, 1.270829439E-01, 1.675152332E-01, 1.510090653E+02
        21, 6.666667014E-02, 1.332104057E-01, 1.498952323E+02
        22, 3.333333507E-02, 1.677268893E-01, 1.506713966E+02
        23, 3.333333507E-02, 2.343935519E-01, 1.524768015E+02
        24, 6.666667014E-02, 2.677268982E-01, 1.568146226E+02
